Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",local_fidelity_log_sum,-28.441521925911804,-276.61450801384575,-60.1560535730084,-90.28082106986861,-70.9008929034908
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",remote_fidelity_log_sum,-269.7067424206708,-93.65583193112451,-167.9219919475921,-171.5568810362883,-121.82987074706784
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",local_fidelity,4.446353326420106e-13,7.37641861594924e-121,7.491311915745652e-27,6.187818800579117e-40,1.6148546931180743e-31
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",remote_fidelity,7.376494698148534e-118,2.1173321610819864e-41,1.1814232325566353e-73,3.117405041439454e-75,1.2301537746574062e-53
QV,60,25086,5337,602,3,"[20, 20, 20]","['reset', 'id', 'sx', 'rzz', 'rx', 'cz', 'rz', 'x']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",local_gate_num,32675.0,280213.0,67209.0,97460.0,78770.0
Circuit,#Qubits,#Gates,#2Q Gates,#Depth,#QPUs,QPUs,Basis Gates,2Q Gate Names,net_type,backends,fidelity,Metrics,Static OEE,FGP-rOEE,WBCP,NAVI,NAVI Hybrid
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",F_eff,0.7690528894173428,0.6870465189387248,0.7800544330497433,0.6847367286927925,0.7813777587083685
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",num_comms,639.0,107.0,287.0,250.0,145.0
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",epairs,639.0,214.0,374.0,491.0,228.0
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity_loss,60.28584897810886,88.71910339046823,57.93334097073567,88.56789683275187,57.99988379516537
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",rgeo_mean_fid,0.9147693098053817,0.8283735835210208,0.891909274221151,0.8394147563627608,0.8665888122066806
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",execution_time,0.7822139263153076,16.324076175689697,3.62252140045166,80.2612636089325,129.1248037815094
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity_log_sum,-62.76033285685144,-89.70943293900426,-59.36558660955991,-90.51428369284574,-58.960477876943315
QFT,60,3105,1209,239,3,"[20, 20, 20]","['id', 'rx', 'sx', 'cz', 'x', 'rz', 'reset', 'rzz']","{'cz', 'rzz'}",all_to_all,"['ibm_marrakesh', 'ibm_marrakesh', 'ibm_marrakesh']","[0.9, 0.93]",total_fidelity,5.540306072530703e-28,1.0956915185852666e-39,1.6514039555768775e-26,4.899435659317517e-40,2.476223310802284e-26
